api_name,description,uri,method,header,params,body
get_admin_by_id,通过adminId查管理员信息,admin/get/{adminId},GET,,,
get_admin_list,获取管理员列表,admin/getList,POST,,,"{
  ""adminId"": 1
}"
get_admin_login,管理员登录,admin/login,POST,,,
add_advert_edu_teacher,"新增广告",advert/addEduTeacher,POST,,,"{
""advertId"": 1,
""link"": "",
""linkContent"": "",
""linkId"": "",
""photo"": "",
""position"": "",
""title"": "",
""type"": "",
}"
find_advert_by_id,"根据id查询广告",advert/findOne,POST,,advertId=59,
update_advert_by_id,"修改广告内容",advert/updateAdvert,POST,,,"{
""advertId"": 1,
""link"": "",
""linkContent"": "",
""linkId"": "",
""photo"": "",
""position"": "",
""title"": "",
""type"": "",
}"
update_advert_by_status,"修改广告状态",advert/updateStatus,POST,,advertId=1&&status=2
del_advert_by_id,"根据id删除广告",advert/advertDel,POST,,advertId=59,
add_course,"新增课程表",course/addCourse,POST,{"Content_Type": "application/json"}
get_course_list_type,"获取课程类型",courseLabel/listType,GET
add_teacher,"新增老师信息",eduTeacher/addEduTeacher,POST
get_teacher_list,获取老师列表,eduTeacher/selectTeacherList,POST,,,"{
""pageNum"": 1,
""pageSize"": 10
}"
get_teacher_by_id,"根据id查询老师",eduTeacher/findOne,POST
del_teacher_by_id,"根据id删除老师",eduTeacher/teacherDel,POST
update_teacher_status_by_id,"启用或者停用老师",eduTeacher/updateStatus,POST
update_teacher_info_by_id,"后台修改老师资料",eduTeacher/updateEduTeacher,POST
update_file,"文件上传",file/uploadImages,POST,{"Content_Type": "multipart/form-data"}
add_information,"新增资讯",information/addEduTeacher,POST,{"Content_Type": "application/json"}
get_information_by_id,"根据id查询资讯",information/finOne,POST,{"Content_Type": "application/json"}
del_information_by_id,"根据id删除资讯",information/informationDel,POST,{"Content_Type": "application/json"}
update_information_status_by_id,"修改资讯状态",information/updateStatus,POST,{"Content_Type": "application/json"}
update_information_info_by_id,"编辑资讯内容",information/updateInformation,POST
